Date,Close/Last,Volume,Open,High,Low
01/28/2022,$79.14,11203770,$78.8,$79.14,$77.765
01/27/2022,$78.9,10862380,$79.1,$79.72,$78.65
01/26/2022,$78.78,10309090,$79.635,$79.91,$78.63
01/25/2022,$79.12,14403850,$79.75,$80.59,$79.01
01/24/2022,$79.97,24383510,$80.74,$81.84,$79.4533
01/21/2022,$81.35,17143280,$81.912,$82,$81.15
01/20/2022,$81.76,18995300,$82.295,$83.04,$81.65
01/19/2022,$82.15,30482080,$82.645,$83.06,$81.5
01/18/2022,$82.31,120269000,$86.765,$86.9,$81.45
01/14/2022,$65.39,13495720,$63.99,$65.54,$62.99
01/13/2022,$64.17,12790840,$64.91,$65.005,$64.01
01/12/2022,$64.81,13986920,$65.23,$65.5399,$63.81
01/11/2022,$65.85,10728600,$63.09,$65.985,$62.93
01/10/2022,$63.11,14993000,$63.89,$64.24,$61.99
01/07/2022,$64.04,21467900,$63.99,$64.895,$63.33
01/06/2022,$63.82,15071100,$66.16,$66.26,$63.71
01/05/2022,$66.29,14988230,$67.2,$67.86,$66.26
01/04/2022,$67.2,9463999,$67.84,$68.0099,$66.93
01/03/2022,$67.42,13209590,$66.44,$67.67,$65.8
12/31/2021,$66.53,9475105,$67.32,$67.64,$66.3
12/30/2021,$67.49,7509107,$67.2,$67.889,$67.05
12/29/2021,$67.16,9051504,$66.57,$67.18,$66.19
12/28/2021,$66.67,13815530,$66.056,$67.59,$65.6
12/27/2021,$65.45,10644480,$65.24,$65.735,$65
12/23/2021,$65.16,8721730,$64.01,$65.389,$63.855
12/22/2021,$64.1,15089730,$63.26,$64.12,$63.14
12/21/2021,$63.59,11097700,$62.25,$63.64,$61.86
12/20/2021,$61.8,8369432,$61.01,$62.23,$60.67
12/17/2021,$61.36,17071610,$61.1,$62.065,$60.6
12/16/2021,$61.49,10074540,$60.55,$61.63,$60.18
12/15/2021,$60.26,7387098,$59.11,$60.51,$58.83
