Date,Close/Last,Volume,Open,High,Low
01/28/2022,$47.73,61945410,$47.71,$48.2,$46.3
01/27/2022,$48.05,89642770,$49.98,$50.06,$47.78
01/26/2022,$51.69,54895390,$51.13,$52.72,$50.75
01/25/2022,$51,44095360,$51.01,$51.62,$50.25
01/24/2022,$51.94,64273630,$51.48,$52.1291,$49.88
01/21/2022,$52.04,46372370,$52.08,$53.1299,$51.95
01/20/2022,$52.04,28582610,$53.86,$54.085,$51.94
01/19/2022,$53.62,30595110,$54.63,$54.85,$53.56
01/18/2022,$54.76,35332590,$55.31,$55.65,$54.68
01/14/2022,$55.7,30151530,$54.85,$55.77,$54.53
01/13/2022,$54.94,29605350,$56,$56.21,$54.77
01/12/2022,$55.74,29136790,$56.136,$56.28,$54.81
01/11/2022,$55.91,39795190,$55.5,$56.08,$54.73
01/10/2022,$55.21,49260830,$53.97,$55.31,$53.31
01/07/2022,$53.44,30717220,$54.19,$54.39,$53.15
01/06/2022,$54.01,35757880,$54.61,$54.67,$53.415
01/05/2022,$53.87,59109320,$54.188,$56.17,$53.83
01/04/2022,$53.14,45681380,$53.57,$53.935,$52.65
01/03/2022,$53.21,33892930,$51.65,$53.23,$51.6
12/31/2021,$51.5,16318970,$51.89,$52.159,$51.46
12/30/2021,$51.74,18359360,$51.92,$52.14,$51.65
12/29/2021,$51.83,14174780,$51.81,$52.14,$51.66
12/28/2021,$51.76,19290440,$51.93,$52.12,$51.63
12/27/2021,$51.94,20990720,$51.35,$52.06,$51.3022
12/23/2021,$51.31,25198250,$51.08,$51.73,$51.05
12/22/2021,$50.97,23307950,$50.64,$51.02,$50.21
12/21/2021,$50.77,31956290,$49.94,$50.84,$49.94
12/20/2021,$49.6,30140280,$49.91,$50.13,$48.96
12/17/2021,$50.62,50190420,$50.59,$51.02,$50.01
12/16/2021,$50.83,33132250,$50.74,$51.4,$50.575
12/15/2021,$50.67,32590320,$49.87,$50.78,$49.325
12/14/2021,$49.7,34120380,$49.82,$50.27,$49.32
12/13/2021,$50,35726900,$50.85,$51.02,$49.95
12/10/2021,$50.59,23783630,$50.84,$51.07,$50.05
12/09/2021,$50.48,31694240,$51.3,$51.585,$50.43
12/08/2021,$51.75,37143440,$52.57,$52.88,$51.3838
12/07/2021,$52.57,91731470,$54.66,$55,$52.21
12/06/2021,$50.99,40335980,$49.48,$51.21,$49.18
12/03/2021,$49.25,32224930,$49.675,$50.06,$48.76
12/02/2021,$49.5,37240780,$48.61,$49.7947,$48.33
12/01/2021,$48.6,35133400,$49.84,$50.3062,$48.52
11/30/2021,$49.2,49460840,$49.5,$50.4,$48.68
11/29/2021,$50,31478900,$49.3,$50.13,$48.72
11/26/2021,$48.78,25268980,$48.9,$49.175,$48.115
11/24/2021,$49.76,26035780,$48.855,$49.78,$48.63
11/23/2021,$49.1,44713340,$50.16,$50.45,$48.64
11/22/2021,$49.83,33389630,$49.55,$50.85,$49.41
11/19/2021,$49.52,27607600,$49.6,$49.73,$49.24
11/18/2021,$49.68,30667660,$50.24,$50.24,$48.97
11/17/2021,$50.23,23546920,$50.6,$50.9399,$49.98
11/16/2021,$50.61,30927770,$50.37,$51.15,$50.34
11/15/2021,$50.32,24695780,$50.41,$50.63,$50.12
11/12/2021,$50.31,23884840,$50.595,$50.9,$50.18
11/11/2021,$50.53,25419990,$51.01,$51.07,$50.41
11/10/2021,$50.76,25040730,$50.975,$51.3873,$50.71
11/09/2021,$51.2,22508420,$51.54,$51.77,$50.765
11/08/2021,$51.55,31647840,$51.46,$51.99,$51.06
11/05/2021,$50.92,36816160,$50.55,$51.58,$50.54
11/04/2021,$50.31,24805960,$50.24,$50.35,$49.73
11/03/2021,$50.39,23962120,$49.931,$50.45,$49.71
11/02/2021,$49.86,27193260,$49.61,$49.895,$49.23
