Date,Close/Last,Volume,Open,High,Low
01/28/2022,$228.4,54377430,$220.122,$228.58,$212.96
01/27/2022,$219.44,57335270,$235.68,$239.95,$216.75
01/26/2022,$227.72,75595870,$232.4,$240.57,$223
01/25/2022,$223.24,66461640,$225.46,$229.43,$220
01/24/2022,$233.72,91581060,$223.3,$233.8,$208.88
01/21/2022,$233.74,71895780,$235.07,$248.23,$232.63
01/20/2022,$241.5,43518070,$253.04,$255.7904,$240.78
01/19/2022,$250.67,48831450,$260.79,$265.4317,$250.52
01/18/2022,$259.03,42530620,$262.6,$266.38,$257.7
01/14/2022,$269.42,39583240,$263,$271.969,$262.1001
01/13/2022,$265.75,53886810,$283.79,$284.8,$264.98
01/12/2022,$279.99,38341350,$280.665,$285.95,$276.08
01/11/2022,$278.17,40408930,$273.225,$280.65,$268.39
01/10/2022,$274,59468100,$265.81,$274.69,$256.4384
01/07/2022,$272.47,40993850,$281.41,$284.22,$270.57
01/06/2022,$281.78,45418640,$276.4,$284.3799,$270.65
01/05/2022,$276.04,49806390,$289.49,$294.16,$275.33
01/04/2022,$292.9,52715440,$302.77,$304.68,$283.49
01/03/2022,$301.21,39240290,$298.15,$307.11,$297.85
12/31/2021,$294.11,26652990,$296.74,$300.3,$293.3057
12/30/2021,$295.86,30886420,$298.27,$304.57,$295.4
12/29/2021,$300.01,34313930,$302.725,$305.48,$293.66
12/28/2021,$303.22,42059120,$313.12,$313.3,$300.1181
12/27/2021,$309.45,40368590,$296.6,$310.865,$296.4
12/23/2021,$296.4,34302170,$297.55,$300.59,$294.3101
12/22/2021,$294,39518440,$288.91,$295.55,$284.49
12/21/2021,$290.75,52438490,$283.74,$291.2,$274.01
12/20/2021,$277.19,46184680,$273.05,$281.44,$271.45
12/17/2021,$278.01,71662240,$279.85,$289.22,$277.6
12/16/2021,$283.87,70736600,$311.52,$311.6,$280.93
12/15/2021,$304.59,69829690,$284,$305,$278.38
12/14/2021,$283.37,66703540,$276.99,$286.78,$272.5
12/13/2021,$281.61,59834370,$302.49,$302.94,$281.16
12/10/2021,$301.98,48882510,$311.5,$313.05,$298.61
12/09/2021,$304.9,48850720,$317.34,$322.05,$304.28
12/08/2021,$318.26,47555150,$319.99,$322.9,$314.2101
