Date,Close/Last,Volume,Open,High,Low
01/28/2022,$104.1601,N/A,$104.1601,$104.1601,$104.1601
01/27/2022,$104.1601,N/A,$104.1601,$104.1601,$104.1601
01/26/2022,$104.1601,1521,$106.7999,$106.7999,$104.1601
01/25/2022,$103,416,$101.25,$103,$101.25
01/24/2022,$100,1213,$101.92,$101.92,$100
01/21/2022,$103.92,504,$103.25,$103.92,$103.25
01/20/2022,$105,278,$105,$105,$105
01/19/2022,$105,N/A,$105,$105,$105
01/18/2022,$105,3143,$104.94,$105,$104.92
01/14/2022,$104.92,N/A,$104.92,$104.92,$104.92
01/13/2022,$104.92,171,$104.92,$104.92,$104.92
01/12/2022,$104.92,2619,$101.95,$104.92,$100.7
01/11/2022,$99.84,2733,$98.75,$104.67,$98.75
01/10/2022,$102.24,615,$102.16,$102.24,$102.16
01/07/2022,$102.24,459,$102.24,$102.24,$102.24
01/06/2022,$100.37,771,$102.16,$102.16,$100.37
01/05/2022,$102.16,407,$102.16,$102.16,$102.16
01/04/2022,$98.53,N/A,$98.53,$98.53,$98.53
01/03/2022,$98.53,280,$98.53,$98.53,$98.53
12/31/2021,$99,31677,$97.3,$99,$97.3
12/30/2021,$100,N/A,$100,$100,$100
12/29/2021,$100,N/A,$100,$100,$100
12/28/2021,$100,387,$100,$100,$100
12/27/2021,$100.75,711,$100,$100.75,$98.9
12/23/2021,$100,N/A,$100,$100,$100
12/22/2021,$100,2175,$96.18,$100,$96.1
12/21/2021,$95.87,N/A,$95.87,$95.87,$95.87
12/20/2021,$95.87,N/A,$95.87,$95.87,$95.87
12/17/2021,$95.87,368,$95.87,$95.87,$95.87
12/16/2021,$96.33,6357,$95.41,$100.75,$95.41
12/15/2021,$100.45,449,$98,$100.45,$98
12/14/2021,$93.55,2828,$94.08,$94.08,$93.55
12/13/2021,$97.6137,5066,$100,$100.28,$97.6137
12/10/2021,$97.08,77722,$95.21,$97.975,$95.21
12/09/2021,$93.73,N/A,$93.73,$93.73,$93.73
12/08/2021,$93.73,1598,$93.41,$93.73,$93.41
12/07/2021,$95.45,256,$95.45,$95.45,$95.45
12/06/2021,$92.11,1039,$92.01,$92.11,$92.01
12/03/2021,$96.07,N/A,$96.07,$96.07,$96.07
12/02/2021,$96.07,206,$96.07,$96.07,$96.07
12/01/2021,$95.9,551,$95.9,$95.9,$95.9
11/30/2021,$96.5,N/A,$96.5,$96.5,$96.5
11/29/2021,$96.5,267,$96.5,$96.5,$96.5
11/26/2021,$98.67,N/A,$98.67,$98.67,$98.67
11/24/2021,$98.67,25635,$98.67,$98.67,$98.67
11/23/2021,$100,221,$100.4,$100.4,$100
11/22/2021,$100.26,434,$100.49,$100.49,$100.26
11/19/2021,$101.42,120451,$101.42,$101.42,$101.42
11/18/2021,$98.2,1170,$98.2,$98.2,$98.2
11/17/2021,$100.6,N/A,$100.6,$100.6,$100.6
