Date,Close/Last,Volume,Open,High,Low
01/28/2022,$177.29,7322071,$173.81,$177.47,$169.39
01/27/2022,$174.81,6755587,$180.9,$181.02,$173.1
01/26/2022,$178.33,12852710,$182.27,$183.25,$176.18
01/25/2022,$173.96,8157572,$174.91,$178.01,$173.04
01/24/2022,$178.34,11726200,$175.78,$178.62,$171.12
01/21/2022,$175.64,11527890,$174.06,$179.55,$173.33
01/20/2022,$173.45,6057774,$178.78,$180.56,$173.38
01/19/2022,$178.3,5207497,$183.44,$183.58,$178.19
01/18/2022,$182.28,7383578,$183.61,$184.36,$181.26
01/14/2022,$187.01,4731493,$183.26,$187.2,$183
01/13/2022,$184.15,5361110,$188.97,$189.625,$183.61
01/12/2022,$186.03,4240119,$186,$187.34,$184.4
01/11/2022,$184.64,5239279,$182.5,$186.08,$181.21
01/10/2022,$182.96,7195772,$177.9,$183.23,$176.88
01/07/2022,$179.44,7414192,$181.97,$184.06,$178.9
01/06/2022,$186.76,4502594,$186.67,$188.52,$185.79
01/05/2022,$186.82,5047424,$190.41,$191.61,$186.65
01/04/2022,$190.8,4137512,$191,$192.1,$188.2
01/03/2022,$190.6,3783000,$188.82,$190.62,$187.46
12/31/2021,$188.47,2813894,$189.41,$190,$188.27
12/30/2021,$189.41,2109201,$190.87,$191.87,$189.01
12/29/2021,$190.81,2755238,$191.39,$193.28,$190.76
12/28/2021,$191.1,2807445,$192.8,$192.86,$190.38
12/27/2021,$191.84,3405917,$188.08,$191.95,$188.07
12/23/2021,$187.4,3266661,$187.24,$188.94,$187
12/22/2021,$186.93,3375644,$185.99,$187.01,$184.16
12/21/2021,$186.37,6089506,$187.43,$187.49,$184.24
12/20/2021,$184.24,4474511,$183.65,$185.06,$182.7689
12/17/2021,$186.3,8439069,$187.38,$189.38,$185.63
12/16/2021,$188.24,5452305,$194,$194.225,$187.72
12/15/2021,$193.44,6342123,$192,$193.71,$187.87
12/14/2021,$190.27,6130424,$190.97,$191.68,$188.16
12/13/2021,$193.24,6178322,$196.1,$196.74,$192.91
12/10/2021,$196,3264337,$196.02,$196.36,$192.8109
12/09/2021,$193.4,3626664,$195.57,$196.9,$193.25
12/08/2021,$196.39,4255930,$198.5,$198.5,$193.87
12/07/2021,$199.03,5815641,$196.4,$199.86,$195.93
12/06/2021,$194.61,4084647,$195.17,$195.25,$189.76
12/03/2021,$193.38,4901026,$194.63,$196.03,$191.68
12/02/2021,$193.58,4236799,$190.46,$194.91,$190
12/01/2021,$191.76,7279100,$195.73,$199.9,$191.63
11/30/2021,$192.37,8775583,$193.31,$194.7,$191
11/29/2021,$194.38,4576415,$191.07,$194.73,$189.81
11/26/2021,$188.26,3324890,$189.86,$192.52,$187.37
11/24/2021,$193.6,6494330,$192.86,$193.67,$190.1
11/23/2021,$192.64,4881500,$193.61,$193.65,$190.47
11/22/2021,$192.5,4712643,$195.7,$196.91,$192.22
11/19/2021,$195.16,5133458,$193.894,$195.25,$192.615
11/18/2021,$193.47,4677555,$190.57,$194.16,$190.135
11/17/2021,$189.57,4167752,$188.41,$190.24,$187.25
11/16/2021,$188.52,3312037,$189.1,$190.25,$188.16
11/15/2021,$189.23,2985254,$191.22,$191.91,$188.5
