,Date,Close/Last,Volume,Open,High,Low,Society
0,01/28/2022,170.33,179935700.0,$165.71,$170.35,$162.8,Apple
1,01/27/2022,159.22,121954600.0,$162.45,$163.84,$158.28,Apple
2,01/26/2022,159.69,108275300.0,$163.5,$164.3894,$157.82,Apple
3,01/25/2022,159.78,115798400.0,$158.98,$162.76,$157.02,Apple
4,01/24/2022,161.62,162706700.0,$160.02,$162.3,$154.7,Apple
5,01/21/2022,162.41,122848900.0,$164.415,$166.33,$162.3,Apple
6,01/20/2022,164.51,91420520.0,$166.98,$169.68,$164.18,Apple
7,01/19/2022,166.23,94814990.0,$170,$171.08,$165.94,Apple
8,01/18/2022,169.8,91168730.0,$171.51,$172.54,$169.405,Apple
9,01/14/2022,173.07,80440780.0,$171.34,$173.78,$171.09,Apple
10,01/13/2022,172.19,84505760.0,$175.78,$176.62,$171.79,Apple
11,01/12/2022,175.53,74805170.0,$176.12,$177.18,$174.82,Apple
12,01/11/2022,175.08,76138310.0,$172.32,$175.18,$170.82,Apple
13,01/10/2022,172.19,106765600.0,$169.08,$172.5,$168.17,Apple
14,01/07/2022,172.17,86709150.0,$172.89,$174.14,$171.03,Apple
15,01/06/2022,172.0,96903960.0,$172.7,$175.3,$171.64,Apple
16,01/05/2022,174.92,94537600.0,$179.61,$180.17,$174.64,Apple
17,01/04/2022,179.7,99310440.0,$182.63,$182.94,$179.12,Apple
18,01/03/2022,182.01,104701200.0,$177.83,$182.88,$177.71,Apple
19,12/31/2021,177.57,64062260.0,$178.085,$179.23,$177.26,Apple
20,12/30/2021,178.2,59773010.0,$179.47,$180.57,$178.09,Apple
21,12/29/2021,179.38,62348930.0,$179.33,$180.63,$178.14,Apple
22,12/28/2021,179.29,79144340.0,$180.16,$181.33,$178.53,Apple
23,12/27/2021,180.33,74919580.0,$177.085,$180.42,$177.07,Apple
24,12/23/2021,176.28,68356570.0,$175.85,$176.8499,$175.27,Apple
25,12/22/2021,175.64,92135300.0,$173.04,$175.86,$172.15,Apple
26,12/21/2021,172.99,91185910.0,$171.555,$173.2,$169.12,Apple
27,12/20/2021,169.75,107499100.0,$168.28,$170.58,$167.46,Apple
28,12/17/2021,171.14,195923400.0,$169.93,$173.47,$169.69,Apple
29,12/16/2021,172.26,150185800.0,$179.28,$181.14,$170.75,Apple
30,12/15/2021,179.3,131063300.0,$175.11,$179.5,$172.3108,Apple
31,12/14/2021,174.33,139380400.0,$175.25,$177.74,$172.21,Apple
32,12/13/2021,175.74,153237000.0,$181.115,$182.13,$175.53,Apple
33,12/10/2021,179.45,115402700.0,$175.205,$179.63,$174.69,Apple
34,12/09/2021,174.56,108923700.0,$174.91,$176.75,$173.92,Apple
35,12/08/2021,175.08,116998900.0,$172.125,$175.96,$170.7,Apple
36,12/07/2021,171.18,120405400.0,$169.08,$171.58,$168.34,Apple
37,12/06/2021,165.32,107497000.0,$164.29,$167.8799,$164.28,Apple
